,name,url,year,certificate,rating,votes,plot
473,The Mummy: Tomb of the Dragon Emperor,https://www.imdb.com/title/tt1270479/?ref_=adv_li_tt,2008,T,5.7,450,"Video game following the story of the movie. You play as either Rick O'Connell or his son, Alex O'Connell and have to thwart the plans of the Dragon emperor and his Terracotta army."
474,T2: Terminator 2: Judgment Day,https://www.imdb.com/title/tt15187022/?ref_=adv_li_tt,1992,,6.8,16,"Designed for the NES, the 8-bit version of ""Terminator 2"" is a 2D side-scrolling platform shooter. The plot of the game loosely follows the film, as the T-800 beats up bikers, out-runs the ... See full summary »"
475,Iron Man,https://www.imdb.com/title/tt1233205/?ref_=adv_li_tt,2008,T,6.8,"2,106","Tony Stark, gets kidnapped and forced to build a devastating weapon. Instead, he builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he vows to protect the world as Iron Man."
476,Yakuza,https://www.imdb.com/title/tt0823193/?ref_=adv_li_tt,2005,M,8.2,437,"After Kiryu Kazuma takes the blame for the murder of its leader, he is sent to prison. Ten years later he learns that the criminal underworld is searching for 10 billion yen that has been stolen from the Tojo clan."
477,Battlefield 3,https://www.imdb.com/title/tt1954263/?ref_=adv_li_tt,2011,M,8.1,"8,909",Step into the role of the elite U.S. Marines and experience heart-pounding single player missions and competitive multiplayer action ranging across diverse locations from around the globe.
478,Splinter Cell,https://www.imdb.com/title/tt0340374/?ref_=adv_li_tt,2002,T,8.3,"3,165",Stealth-mission expert Sam Fisher searches for two US agents in Georgia and soon uncovers a plot involving a nuclear device.
479,Sniper Elite 5,https://www.imdb.com/title/tt20560208/?ref_=adv_li_tt,2022,M,7.0,123,"In Sniper Elite 5, the player once again assumes control of Karl Fairburne, an elite sniper from the Allied Powers who journeys to France in 1944 to destroy a secret Nazi project known as ""Project Kraken."""
480,Kena: Bridge of Spirits,https://www.imdb.com/title/tt12497176/?ref_=adv_li_tt,2021,T,8.1,651,"The story follows Kena, a young spirit guide who uses her magical abilities to help deceased people move from the physical to the spirit world."
481,Destroy All Humans!,https://www.imdb.com/title/tt0433547/?ref_=adv_li_tt,2005,T,7.8,882,"You are Cryptospordium-137, a Furon sent to Earth to collect Furon DNA embedded in humans."
482,Resident Evil: Revelations 2,https://www.imdb.com/title/tt4018604/?ref_=adv_li_tt,2015,M,7.5,"1,397","Revelations 2 sees the return of Claire Redfield, whom along with the daughter of Barry Burton, Moira Burton, must try to escape off a monster-infested island."
483,True Crime: New York City,https://www.imdb.com/title/tt0462582/?ref_=adv_li_tt,2005,M,6.9,945,"Street cop Marcus Reed, a former gangster, tries to uncover who is behind the murder of his friend and mentor, Lt. Terrance Higgins."
484,Tomb Raider,https://www.imdb.com/title/tt0190838/?ref_=adv_li_tt,1996,T,8.0,"2,952",An archaeologist and daughter to a rich aristocratic English family ventures across the world in search of the three mysterious Scion artifacts.
485,Shadow of the Colossus,https://www.imdb.com/title/tt0486673/?ref_=adv_li_tt,2005,T,9.3,"4,035",A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.
486,Star Wars: Battlefront II,https://www.imdb.com/title/tt0483168/?ref_=adv_li_tt,2005,T,8.8,"6,740",Play as the foot soldier of the galaxy's greatest factions and wage war across countless planets.
487,The Elder Scrolls Online: Morrowind,https://www.imdb.com/title/tt7531496/?ref_=adv_li_tt,2017,M,7.4,164,"When a powerful god's powers begin to falter, chaos erupts across the province of Morrowind. But, when an outsider arrives on the island of Vardenfell, they bring hope of saving it from total destruction."
488,Darksiders,https://www.imdb.com/title/tt1585560/?ref_=adv_li_tt,2010,M,7.8,"2,308","Originally sent to oversee the destruction of Earth, the Four Horsemen of the Apocalypse have been betrayed by their master, stripped of their powers and cast down to Earth. The Four Horsemen embark on a quest of vengeance."
489,Crash Bandicoot,https://www.imdb.com/title/tt0295914/?ref_=adv_li_tt,1996,E,8.2,"3,178",Crash Bandicoot is on a quest to rescue his girlfriend from the evil Dr. Neo Cortex.
490,The X Files: Resist or Serve,https://www.imdb.com/title/tt0353016/?ref_=adv_li_tt,2004,M,8.2,664,"Survival horror game set during season 7 of The X-Files (1993). Scully and Mulder travel to Red Falls, Colorado to look for two missing teenage girls accused of witchcraft only to find the place infested with black oil zombies."
491,Need for Speed: Underground 2,https://www.imdb.com/title/tt0420798/?ref_=adv_li_tt,2004,E,8.1,"3,759","Underground 2 entails tuning cars for street races, while resuming the Need for Speed: Underground (2003) storyline. The game provides several new features, such as a broader customization, new methods of selecting races and more."
492,Fable,https://www.imdb.com/title/tt0388929/?ref_=adv_li_tt,2004,M,8.4,"2,898","Once a young boy has obtained a gift for his sister's birthday, bandits attack his home village of Oakvale. A member of the Hero's Guild, Maze, stumbles upon the boy, saves him and takes the boy to the Guild to be raised as a hero."
493,Star Wars: Episode I - The Phantom Menace,https://www.imdb.com/title/tt0215208/?ref_=adv_li_tt,1999,T,6.6,"1,172","A Jedi attempts to protect Naboo from the greedy Trade Federation and, as they soon learn, the Sith."
494,Ben 10 Ultimate Alien: Cosmic Destruction,https://www.imdb.com/title/tt1705101/?ref_=adv_li_tt,2010,,6.9,192,"As a new threat approaches earth, Ben Tennyson and his friends must find a way to make the Ultimatrix more powerful."
495,The DioField Chronicle,https://www.imdb.com/title/tt18560956/?ref_=adv_li_tt,2022,,,,"As the era of myths changes to an era of turmoil and war between the Trovelt-Schoevian Empire and Rowetale Alliance breaks out, the Blue Foxes, a group from the Kingdom of Alletain, set out to intervene and change the course of legacy."
496,Street Fighter V,https://www.imdb.com/title/tt3103432/?ref_=adv_li_tt,2016,T,6.3,616,Warriors from across the globe must join forces in order to stop Shadaloo from plunging the world into crisis.
497,Resident Evil 3: Nemesis,https://www.imdb.com/title/tt0207701/?ref_=adv_li_tt,1999,M,8.6,"4,665","Two months after surviving the grisly disaster at the mansion lab, Jill Valentine resigns from S.T.A.R.S. and attempts to escape the ruined nightmarish Racoon city."
498,Black Ops 4: Dead of the Night,https://www.imdb.com/title/tt9423198/?ref_=adv_li_tt,2018,,6.9,105,"England, 1912. Friends and acquaintances of relic-hunter Alistair Rhodes flock to his country estate for a grand gala. Among them: a phony psychic, a stage-show gunslinger, a retired ... See full summary »"
499,Call of Duty: Advanced Warfare - Exo Zombies,https://www.imdb.com/title/tt4458694/?ref_=adv_li_tt,2015,,6.5,177,"After the Atlas dropped the bio-tech bombs, the civilians not coded to the bomb's DNA match, where infected. The infected people have taken over Atlas, and a group of survivors are looking for a way out of the Atlas labs."
500,Jak II,https://www.imdb.com/title/tt0384222/?ref_=adv_li_tt,2003,T,8.5,"1,535","After being tortured and experimented upon in a dystopian city for two years, Jak escapes from prison and joins a rebel group, hoping for answers to his newfound dark powers."
